DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.794990063,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEL: Belgium,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,6.412280083,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,7.561490059,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.933969975,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BMU: Bermuda,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,1.500390053,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BTN: Bhutan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,6.850840092,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRA: Brazil,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,6.32254982,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VGB: British Virgin Islands,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.465990067,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRN: Brunei Darussalam,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2016,4.425409794,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGR: Bulgaria,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.09250021,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BFA: Burkina Faso,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.383790016,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BDI: Burundi,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.078649998,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CPV: Cabo Verde,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.181749821,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KHM: Cambodia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.162859917,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.131200075,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAN: Canada,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2011,5.274439812,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2011,1.107920051,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCD: Chad,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,2.454819918,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHL: Chile,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.41945982,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,"HKG: China, Hong Kong Special Administrative Region",ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,3.810580015,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,"MAC: China, Macao Special Administrative Region",ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.738699913,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COL: Colombia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,4.457489967,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COM: Comoros,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2015,2.545059919,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COG: Congo,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.511049986,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,7.048759937,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HRV: Croatia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.917129993,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUW: Curaçao,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2013,4.930950165,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CYP: Cyprus,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.777190208,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CZE: Czechia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.854020119,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.256030083,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,1.454949975,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DNK: Denmark,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,7.816080093,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DJI: Djibouti,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.627739906,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DMA: Dominica,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,5.573450089,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EECA: Eastern Europe and Central Asia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,4.5,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,4.54,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ECU: Ecuador,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2015,4.998700142,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLV: El Salvador,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.592420101,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EST: Estonia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.973380089,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWZ: Eswatini,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2014,7.070320129,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2015,4.737919807,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ECA: Europe and Central Asia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,4.79,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FJI: Fiji,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2013,3.882889986,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FIN: Finland,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,6.376210213,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FRA: France,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.451600075,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GAB: Gabon,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2014,2.666670084,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GMB: Gambia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.420300007,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GEO: Georgia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.52105999,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DEU: Germany,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.905119896,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GHA: Ghana,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.989439964,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GRD: Grenada,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.173799992,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GTM: Guatemala,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,3.212199926,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GIN: Guinea,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.315939903,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GNB: Guinea-Bissau,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2013,2.13248992,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GUY: Guyana,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.493579865,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HTI: Haiti,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.780469894,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HND: Honduras,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,6.06746006,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HUN: Hungary,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.667099953,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ISL: Iceland,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,7.658219814,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IND: India,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2013,3.844670057,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IDN: Indonesia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2015,3.583600044,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IRN: Iran (Islamic Republic of),ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.955359936,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IRL: Ireland,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.506860018,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ISR: Israel,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,6.092619896,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ITA: Italy,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.044939995,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JAM: Jamaica,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,5.16918993,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JPN: Japan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.182179928,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,JOR: Jordan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,3.072530031,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KAZ: Kazakhstan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.615950108,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KEN: Kenya,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.306250095,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KGZ: Kyrgyzstan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,6.026189804,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LAO: Lao People's Democratic Republic,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2014,2.937809944,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and the Caribbean,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,5.21,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LVA: Latvia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.397119999,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNSDG_LDC: Least developed countries,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,3.09,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LBN: Lebanon,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2013,2.432450056,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LSO: Lesotho,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,6.985189915,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LBR: Liberia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.584120035,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LIE: Liechtenstein,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2011,2.556040049,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LTU: Lithuania,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.812829971,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LUX: Luxembourg,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.569590092,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDG: Madagascar,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.825489998,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MWI: Malawi,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,4.714839935,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MYS: Malaysia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,4.163189888,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDV: Maldives,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2016,4.099709988,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLI: Mali,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.787309885,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
